"concurso","data","ordem","bola"
717,2005-11-26,3,41
717,2005-11-26,4,17
717,2005-11-26,5,6
717,2005-11-26,6,23
718,2005-11-30,1,7
718,2005-11-30,2,35
718,2005-11-30,3,21
718,2005-11-30,4,39
718,2005-11-30,5,58
718,2005-11-30,6,33
719,2005-12-03,1,39
719,2005-12-03,2,47
719,2005-12-03,3,37
719,2005-12-03,4,53
719,2005-12-03,5,32
719,2005-12-03,6,3
720,2005-12-07,1,12
720,2005-12-07,2,56
720,2005-12-07,3,44
720,2005-12-07,4,51
720,2005-12-07,5,31
720,2005-12-07,6,54
721,2005-12-10,1,14
721,2005-12-10,2,3
721,2005-12-10,3,23
721,2005-12-10,4,55
721,2005-12-10,5,36
721,2005-12-10,6,25
722,2005-12-14,1,60
722,2005-12-14,2,36
722,2005-12-14,3,57
722,2005-12-14,4,18
722,2005-12-14,5,44
722,2005-12-14,6,9
723,2005-12-17,1,16
723,2005-12-17,2,6
723,2005-12-17,3,52
723,2005-12-17,4,1
723,2005-12-17,5,36
723,2005-12-17,6,50
724,2005-12-21,1,34
724,2005-12-21,2,51
724,2005-12-21,3,55
724,2005-12-21,4,17
724,2005-12-21,5,48
724,2005-12-21,6,27
725,2005-12-31,1,49
725,2005-12-31,2,9
725,2005-12-31,3,3
725,2005-12-31,4,35
725,2005-12-31,5,37
725,2005-12-31,6,41
726,2006-01-04,1,40
726,2006-01-04,2,47
726,2006-01-04,3,1
726,2006-01-04,4,5
726,2006-01-04,5,7
726,2006-01-04,6,37
727,2006-01-07,1,14
727,2006-01-07,2,42
727,2006-01-07,3,12
727,2006-01-07,4,4
727,2006-01-07,5,59
727,2006-01-07,6,30
728,2006-01-11,1,44
728,2006-01-11,2,42
728,2006-01-11,3,13
728,2006-01-11,4,8
728,2006-01-11,5,24
728,2006-01-11,6,32
729,2006-01-14,1,33
729,2006-01-14,2,56
729,2006-01-14,3,18
729,2006-01-14,4,57
729,2006-01-14,5,43
729,2006-01-14,6,5
730,2006-01-18,1,45
730,2006-01-18,2,15
730,2006-01-18,3,2
730,2006-01-18,4,54
730,2006-01-18,5,16
730,2006-01-18,6,50
731,2006-01-21,1,35
731,2006-01-21,2,6
731,2006-01-21,3,15
731,2006-01-21,4,23
731,2006-01-21,5,28
731,2006-01-21,6,16
732,2006-01-25,1,49
732,2006-01-25,2,19
732,2006-01-25,3,53
732,2006-01-25,4,50
732,2006-01-25,5,17
732,2006-01-25,6,6
733,2006-01-28,1,12
733,2006-01-28,2,26
733,2006-01-28,3,31
733,2006-01-28,4,43
733,2006-01-28,5,46
733,2006-01-28,6,2
734,2006-02-01,1,44
734,2006-02-01,2,45
734,2006-02-01,3,27
734,2006-02-01,4,29
734,2006-02-01,5,43
734,2006-02-01,6,54
735,2006-02-04,1,40
735,2006-02-04,2,42
735,2006-02-04,3,15
735,2006-02-04,4,52
735,2006-02-04,5,38
735,2006-02-04,6,9
736,2006-02-08,1,1
736,2006-02-08,2,21
736,2006-02-08,3,38
736,2006-02-08,4,41
736,2006-02-08,5,56
736,2006-02-08,6,49
737,2006-02-11,1,33
737,2006-02-11,2,12
737,2006-02-11,3,24
737,2006-02-11,4,38
737,2006-02-11,5,11
737,2006-02-11,6,32
738,2006-02-15,1,15
738,2006-02-15,2,30
738,2006-02-15,3,14
738,2006-02-15,4,42
738,2006-02-15,5,26
738,2006-02-15,6,54
739,2006-02-18,1,6
739,2006-02-18,2,45
739,2006-02-18,3,56
739,2006-02-18,4,49
739,2006-02-18,5,35
739,2006-02-18,6,10
740,2006-02-22,1,29
740,2006-02-22,2,47
740,2006-02-22,3,12
740,2006-02-22,4,50
740,2006-02-22,5,16
740,2006-02-22,6,28
741,2006-02-25,1,26
741,2006-02-25,2,39
741,2006-02-25,3,27
741,2006-02-25,4,24
741,2006-02-25,5,59
741,2006-02-25,6,36
742,2006-03-01,1,34
742,2006-03-01,2,17
742,2006-03-01,3,7
742,2006-03-01,4,41
742,2006-03-01,5,2
742,2006-03-01,6,50
743,2006-03-04,1,54
743,2006-03-04,2,20
743,2006-03-04,3,32
743,2006-03-04,4,60
743,2006-03-04,5,25
743,2006-03-04,6,23
744,2006-03-08,1,26
744,2006-03-08,2,46
744,2006-03-08,3,12
744,2006-03-08,4,23
744,2006-03-08,5,39
744,2006-03-08,6,4
745,2006-03-11,1,21
745,2006-03-11,2,57
745,2006-03-11,3,37
745,2006-03-11,4,16
745,2006-03-11,5,43
745,2006-03-11,6,2
746,2006-03-15,1,49
746,2006-03-15,2,12
746,2006-03-15,3,10
746,2006-03-15,4,57
746,2006-03-15,5,25
746,2006-03-15,6,1
747,2006-03-18,1,21
747,2006-03-18,2,23
747,2006-03-18,3,56
747,2006-03-18,4,12
747,2006-03-18,5,3
747,2006-03-18,6,2
748,2006-03-22,1,1
748,2006-03-22,2,7
748,2006-03-22,3,19
748,2006-03-22,4,51
748,2006-03-22,5,35
748,2006-03-22,6,2
749,2006-03-25,1,24
749,2006-03-25,2,47
749,2006-03-25,3,4
749,2006-03-25,4,57
749,2006-03-25,5,48
749,2006-03-25,6,50
750,2006-03-29,1,58
750,2006-03-29,2,17
750,2006-03-29,3,54
750,2006-03-29,4,10
750,2006-03-29,5,42
750,2006-03-29,6,33
751,2006-04-01,1,4
751,2006-04-01,2,25
751,2006-04-01,3,38
751,2006-04-01,4,50
751,2006-04-01,5,20
751,2006-04-01,6,7
752,2006-04-05,1,25
752,2006-04-05,2,4
752,2006-04-05,3,29
752,2006-04-05,4,42
752,2006-04-05,5,24
752,2006-04-05,6,23
753,2006-04-08,1,59
753,2006-04-08,2,35
753,2006-04-08,3,43
753,2006-04-08,4,22
753,2006-04-08,5,7
753,2006-04-08,6,2
754,2006-04-12,1,4
754,2006-04-12,2,42
754,2006-04-12,3,34
754,2006-04-12,4,50
754,2006-04-12,5,3
754,2006-04-12,6,13
755,2006-04-15,1,59
755,2006-04-15,2,30
755,2006-04-15,3,47
755,2006-04-15,4,12
755,2006-04-15,5,4
755,2006-04-15,6,49
756,2006-04-19,1,37
756,2006-04-19,2,50
756,2006-04-19,3,41
756,2006-04-19,4,5
756,2006-04-19,5,38
756,2006-04-19,6,27
757,2006-04-22,1,17
757,2006-04-22,2,32
757,2006-04-22,3,12
757,2006-04-22,4,18
757,2006-04-22,5,58
757,2006-04-22,6,30
758,2006-04-26,1,47
758,2006-04-26,2,59
758,2006-04-26,3,1
758,2006-04-26,4,23
758,2006-04-26,5,36
758,2006-04-26,6,43
759,2006-04-29,1,59
759,2006-04-29,2,39
759,2006-04-29,3,30
759,2006-04-29,4,31
759,2006-04-29,5,48
759,2006-04-29,6,45
760,2006-05-03,1,12
760,2006-05-03,2,17
760,2006-05-03,3,60
760,2006-05-03,4,44
760,2006-05-03,5,46
760,2006-05-03,6,45
761,2006-05-06,1,56
761,2006-05-06,2,29
761,2006-05-06,3,17
761,2006-05-06,4,13
761,2006-05-06,5,27
761,2006-05-06,6,40
762,2006-05-10,1,39
762,2006-05-10,2,9
762,2006-05-10,3,21
762,2006-05-10,4,12
762,2006-05-10,5,37
762,2006-05-10,6,54
763,2006-05-13,1,40
763,2006-05-13,2,47
763,2006-05-13,3,1
763,2006-05-13,4,48
763,2006-05-13,5,9
763,2006-05-13,6,26
764,2006-05-18,1,7
764,2006-05-18,2,3
764,2006-05-18,3,55
764,2006-05-18,4,47
764,2006-05-18,5,53
764,2006-05-18,6,45
765,2006-05-21,1,3
765,2006-05-21,2,37
765,2006-05-21,3,50
765,2006-05-21,4,16
765,2006-05-21,5,30
765,2006-05-21,6,10
766,2006-05-24,1,1
766,2006-05-24,2,50
766,2006-05-24,3,19
766,2006-05-24,4,42
766,2006-05-24,5,24
766,2006-05-24,6,58
767,2006-05-27,1,22
767,2006-05-27,2,50
767,2006-05-27,3,32
767,2006-05-27,4,38
767,2006-05-27,5,54
767,2006-05-27,6,15
768,2006-05-31,1,33
768,2006-05-31,2,37
768,2006-05-31,3,59
768,2006-05-31,4,30
768,2006-05-31,5,4
768,2006-05-31,6,8
769,2006-06-03,1,20
769,2006-06-03,2,21
769,2006-06-03,3,50
769,2006-06-03,4,29
769,2006-06-03,5,12
769,2006-06-03,6,16
770,2006-06-07,1,4
770,2006-06-07,2,34
770,2006-06-07,3,25
770,2006-06-07,4,35
770,2006-06-07,5,48
770,2006-06-07,6,12
771,2006-06-10,1,29
771,2006-06-10,2,46
771,2006-06-10,3,34
771,2006-06-10,4,47
771,2006-06-10,5,21
771,2006-06-10,6,14
772,2006-06-14,1,38
772,2006-06-14,2,51
772,2006-06-14,3,52
772,2006-06-14,4,60
772,2006-06-14,5,10
772,2006-06-14,6,35
773,2006-06-17,1,3
773,2006-06-17,2,5
773,2006-06-17,3,51
773,2006-06-17,4,29
773,2006-06-17,5,34
773,2006-06-17,6,14
774,2006-06-21,1,37
774,2006-06-21,2,5
774,2006-06-21,3,54
774,2006-06-21,4,58
774,2006-06-21,5,46
774,2006-06-21,6,10
775,2006-06-24,1,27
775,2006-06-24,2,12
775,2006-06-24,3,46
775,2006-06-24,4,47
775,2006-06-24,5,42
775,2006-06-24,6,50
776,2006-06-28,1,57
776,2006-06-28,2,35
776,2006-06-28,3,60
776,2006-06-28,4,41
776,2006-06-28,5,3
776,2006-06-28,6,15
777,2006-07-01,1,14
777,2006-07-01,2,50
777,2006-07-01,3,23
777,2006-07-01,4,2
777,2006-07-01,5,28
777,2006-07-01,6,56
778,2006-07-05,1,45
778,2006-07-05,2,20
778,2006-07-05,3,36
778,2006-07-05,4,37
778,2006-07-05,5,31
778,2006-07-05,6,51
779,2006-07-08,1,36
779,2006-07-08,2,54
779,2006-07-08,3,52
779,2006-07-08,4,25
779,2006-07-08,5,29
779,2006-07-08,6,26
780,2006-07-12,1,10
780,2006-07-12,2,50
780,2006-07-12,3,28
780,2006-07-12,4,51
780,2006-07-12,5,59
780,2006-07-12,6,7
781,2006-07-15,1,10
781,2006-07-15,2,54
781,2006-07-15,3,8
781,2006-07-15,4,39
781,2006-07-15,5,56
781,2006-07-15,6,13
782,2006-07-19,1,11
782,2006-07-19,2,23
782,2006-07-19,3,59
782,2006-07-19,4,42
782,2006-07-19,5,35
782,2006-07-19,6,2
783,2006-07-22,1,43
783,2006-07-22,2,21
783,2006-07-22,3,48
783,2006-07-22,4,8
783,2006-07-22,5,4
783,2006-07-22,6,32
784,2006-07-26,1,42
784,2006-07-26,2,56
784,2006-07-26,3,8
784,2006-07-26,4,37
784,2006-07-26,5,27
784,2006-07-26,6,53
785,2006-07-29,1,35
785,2006-07-29,2,5
785,2006-07-29,3,37
785,2006-07-29,4,8
785,2006-07-29,5,48
785,2006-07-29,6,17
786,2006-08-02,1,27
786,2006-08-02,2,31
786,2006-08-02,3,26
786,2006-08-02,4,11
786,2006-08-02,5,10
786,2006-08-02,6,41
787,2006-08-05,1,37
787,2006-08-05,2,31
787,2006-08-05,3,20
787,2006-08-05,4,60
787,2006-08-05,5,34
787,2006-08-05,6,54
788,2006-08-09,1,31
788,2006-08-09,2,57
788,2006-08-09,3,17
788,2006-08-09,4,19
788,2006-08-09,5,29
788,2006-08-09,6,44
789,2006-08-12,1,60
789,2006-08-12,2,39
789,2006-08-12,3,31
789,2006-08-12,4,38
789,2006-08-12,5,6
789,2006-08-12,6,50
790,2006-08-16,1,22
790,2006-08-16,2,2
790,2006-08-16,3,19
790,2006-08-16,4,28
790,2006-08-16,5,43
790,2006-08-16,6,6
791,2006-08-19,1,42
791,2006-08-19,2,35
791,2006-08-19,3,19
791,2006-08-19,4,9
791,2006-08-19,5,14
791,2006-08-19,6,58
792,2006-08-23,1,43
792,2006-08-23,2,56
792,2006-08-23,3,9
792,2006-08-23,4,45
792,2006-08-23,5,29
792,2006-08-23,6,34
793,2006-08-26,1,3
793,2006-08-26,2,51
793,2006-08-26,3,33
793,2006-08-26,4,15
793,2006-08-26,5,16
793,2006-08-26,6,57
794,2006-08-30,1,56
794,2006-08-30,2,47
794,2006-08-30,3,55
794,2006-08-30,4,38
794,2006-08-30,5,42
794,2006-08-30,6,3
795,2006-09-02,1,14
795,2006-09-02,2,36
795,2006-09-02,3,21
795,2006-09-02,4,29
795,2006-09-02,5,26
795,2006-09-02,6,48
796,2006-09-06,1,19
796,2006-09-06,2,24
796,2006-09-06,3,43
796,2006-09-06,4,34
796,2006-09-06,5,39
796,2006-09-06,6,5
797,2006-09-09,1,58
797,2006-09-09,2,48
797,2006-09-09,3,52
797,2006-09-09,4,47
797,2006-09-09,5,12
797,2006-09-09,6,6
798,2006-09-13,1,32
798,2006-09-13,2,9
798,2006-09-13,3,4
798,2006-09-13,4,52
798,2006-09-13,5,29
798,2006-09-13,6,3
799,2006-09-16,1,29
799,2006-09-16,2,35
799,2006-09-16,3,19
799,2006-09-16,4,57
799,2006-09-16,5,42
799,2006-09-16,6,55
800,2006-09-20,1,1
800,2006-09-20,2,7
800,2006-09-20,3,56
800,2006-09-20,4,11
800,2006-09-20,5,37
800,2006-09-20,6,38
801,2006-09-23,1,20
801,2006-09-23,2,22
801,2006-09-23,3,11
801,2006-09-23,4,19
801,2006-09-23,5,48
801,2006-09-23,6,42
802,2006-09-27,1,14
802,2006-09-27,2,24
802,2006-09-27,3,60
802,2006-09-27,4,6
802,2006-09-27,5,18
802,2006-09-27,6,48
803,2006-09-30,1,10
803,2006-09-30,2,57
803,2006-09-30,3,28
803,2006-09-30,4,3
803,2006-09-30,5,5
803,2006-09-30,6,21
804,2006-10-04,1,13
804,2006-10-04,2,59
804,2006-10-04,3,37
804,2006-10-04,4,56
804,2006-10-04,5,3
804,2006-10-04,6,47
805,2006-10-07,1,30
805,2006-10-07,2,2
805,2006-10-07,3,48
805,2006-10-07,4,60
805,2006-10-07,5,43
805,2006-10-07,6,36
806,2006-10-12,1,60
806,2006-10-12,2,41
806,2006-10-12,3,47
806,2006-10-12,4,26
806,2006-10-12,5,35
806,2006-10-12,6,18
807,2006-10-14,1,8
807,2006-10-14,2,27
807,2006-10-14,3,2
807,2006-10-14,4,32
807,2006-10-14,5,56
807,2006-10-14,6,49
808,2006-10-18,1,15
808,2006-10-18,2,21
808,2006-10-18,3,31
808,2006-10-18,4,46
808,2006-10-18,5,2
808,2006-10-18,6,57
809,2006-10-21,1,25
809,2006-10-21,2,23
809,2006-10-21,3,11
809,2006-10-21,4,5
809,2006-10-21,5,30
809,2006-10-21,6,15
810,2006-10-25,1,4
810,2006-10-25,2,33
810,2006-10-25,3,1
810,2006-10-25,4,48
810,2006-10-25,5,5
810,2006-10-25,6,37
811,2006-10-28,1,32
811,2006-10-28,2,57
811,2006-10-28,3,28
811,2006-10-28,4,41
811,2006-10-28,5,10
811,2006-10-28,6,47
812,2006-11-01,1,57
812,2006-11-01,2,39
812,2006-11-01,3,54
812,2006-11-01,4,11
812,2006-11-01,5,38
812,2006-11-01,6,13
813,2006-11-04,1,23
813,2006-11-04,2,15
813,2006-11-04,3,56
813,2006-11-04,4,46
813,2006-11-04,5,9
813,2006-11-04,6,45
814,2006-11-08,1,11
814,2006-11-08,2,2
814,2006-11-08,3,46
814,2006-11-08,4,50
814,2006-11-08,5,8
814,2006-11-08,6,41
815,2006-11-11,1,57
815,2006-11-11,2,50
815,2006-11-11,3,9
815,2006-11-11,4,39
815,2006-11-11,5,37
815,2006-11-11,6,19
816,2006-11-16,1,21
816,2006-11-16,2,47
816,2006-11-16,3,40
816,2006-11-16,4,52
816,2006-11-16,5,30
816,2006-11-16,6,20
817,2006-11-18,1,34
817,2006-11-18,2,43
817,2006-11-18,3,29
817,2006-11-18,4,30
817,2006-11-18,5,10
817,2006-11-18,6,52
818,2006-11-22,1,44
818,2006-11-22,2,41
818,2006-11-22,3,22
818,2006-11-22,4,8
818,2006-11-22,5,9
818,2006-11-22,6,25
819,2006-11-25,1,51
819,2006-11-25,2,5
819,2006-11-25,3,58
819,2006-11-25,4,46
819,2006-11-25,5,25
819,2006-11-25,6,19
820,2006-11-29,1,17
820,2006-11-29,2,45
820,2006-11-29,3,32
820,2006-11-29,4,21
820,2006-11-29,5,10
820,2006-11-29,6,46
821,2006-12-02,1,4
821,2006-12-02,2,29
821,2006-12-02,3,38
821,2006-12-02,4,36
821,2006-12-02,5,33
821,2006-12-02,6,42
822,2006-12-06,1,4
822,2006-12-06,2,17
822,2006-12-06,3,41
822,2006-12-06,4,10
822,2006-12-06,5,27
822,2006-12-06,6,52
823,2006-12-09,1,15
823,2006-12-09,2,26
823,2006-12-09,3,59
823,2006-12-09,4,1
823,2006-12-09,5,54
823,2006-12-09,6,51
824,2006-12-13,1,33
824,2006-12-13,2,48
824,2006-12-13,3,6
824,2006-12-13,4,7
824,2006-12-13,5,20
824,2006-12-13,6,9
825,2006-12-16,1,28
825,2006-12-16,2,21
825,2006-12-16,3,40
825,2006-12-16,4,10
825,2006-12-16,5,41
825,2006-12-16,6,47
826,2006-12-19,1,45
826,2006-12-19,2,6
826,2006-12-19,3,8
826,2006-12-19,4,7
826,2006-12-19,5,53
826,2006-12-19,6,27
827,2006-12-21,1,24
827,2006-12-21,2,56
827,2006-12-21,3,30
827,2006-12-21,4,51
827,2006-12-21,5,42
827,2006-12-21,6,18
828,2006-12-23,1,23
828,2006-12-23,2,50
828,2006-12-23,3,53
828,2006-12-23,4,42
828,2006-12-23,5,28
828,2006-12-23,6,38
829,2006-12-31,1,32
829,2006-12-31,2,50
829,2006-12-31,3,14
829,2006-12-31,4,47
829,2006-12-31,5,10
829,2006-12-31,6,56
830,2007-01-03,1,53
830,2007-01-03,2,51
830,2007-01-03,3,2
830,2007-01-03,4,41
830,2007-01-03,5,13
830,2007-01-03,6,49
831,2007-01-06,1,3
831,2007-01-06,2,50
831,2007-01-06,3,48
831,2007-01-06,4,42
831,2007-01-06,5,32
831,2007-01-06,6,33
832,2007-01-10,1,17
832,2007-01-10,2,49
832,2007-01-10,3,15
832,2007-01-10,4,33
832,2007-01-10,5,39
832,2007-01-10,6,23
833,2007-01-13,1,53
833,2007-01-13,2,58
833,2007-01-13,3,57
833,2007-01-13,4,16
833,2007-01-13,5,46
833,2007-01-13,6,13
834,2007-01-17,1,44
834,2007-01-17,2,10
834,2007-01-17,3,17
834,2007-01-17,4,16
834,2007-01-17,5,51
834,2007-01-17,6,34
835,2007-01-20,1,58
835,2007-01-20,2,31
835,2007-01-20,3,57
835,2007-01-20,4,49
835,2007-01-20,5,33
835,2007-01-20,6,18
836,2007-01-24,1,28
836,2007-01-24,2,22
836,2007-01-24,3,38
836,2007-01-24,4,17
836,2007-01-24,5,52
836,2007-01-24,6,59
837,2007-01-27,1,16
837,2007-01-27,2,5
837,2007-01-27,3,24
837,2007-01-27,4,34
837,2007-01-27,5,6
837,2007-01-27,6,60
838,2007-01-31,1,9
838,2007-01-31,2,30
838,2007-01-31,3,47
838,2007-01-31,4,38
838,2007-01-31,5,23
838,2007-01-31,6,44
839,2007-02-03,1,11
839,2007-02-03,2,18
839,2007-02-03,3,8
839,2007-02-03,4,7
839,2007-02-03,5,37
839,2007-02-03,6,43
840,2007-02-07,1,43
840,2007-02-07,2,29
840,2007-02-07,3,35
840,2007-02-07,4,59
840,2007-02-07,5,31
840,2007-02-07,6,17
841,2007-02-10,1,36
841,2007-02-10,2,51
841,2007-02-10,3,32
841,2007-02-10,4,22
841,2007-02-10,5,38
841,2007-02-10,6,7
842,2007-02-14,1,51
842,2007-02-14,2,44
842,2007-02-14,3,60
842,2007-02-14,4,9
842,2007-02-14,5,7
842,2007-02-14,6,30
843,2007-02-17,1,34
843,2007-02-17,2,48
843,2007-02-17,3,1
843,2007-02-17,4,16
843,2007-02-17,5,45
843,2007-02-17,6,36
844,2007-02-24,1,54
844,2007-02-24,2,24
844,2007-02-24,3,44
844,2007-02-24,4,57
844,2007-02-24,5,34
844,2007-02-24,6,16
845,2007-02-28,1,40
845,2007-02-28,2,48
845,2007-02-28,3,19
845,2007-02-28,4,20
845,2007-02-28,5,14
845,2007-02-28,6,52
846,2007-03-03,1,47
846,2007-03-03,2,54
846,2007-03-03,3,2
846,2007-03-03,4,50
846,2007-03-03,5,3
846,2007-03-03,6,44
847,2007-03-07,1,42
847,2007-03-07,2,14
847,2007-03-07,3,44
847,2007-03-07,4,27
847,2007-03-07,5,15
847,2007-03-07,6,48
848,2007-03-10,1,56
848,2007-03-10,2,34
848,2007-03-10,3,17
848,2007-03-10,4,32
848,2007-03-10,5,47
848,2007-03-10,6,27
849,2007-03-14,1,8
849,2007-03-14,2,39
849,2007-03-14,3,9
849,2007-03-14,4,58
849,2007-03-14,5,44
849,2007-03-14,6,49
850,2007-03-17,1,60
850,2007-03-17,2,22
850,2007-03-17,3,59
850,2007-03-17,4,25
850,2007-03-17,5,44
850,2007-03-17,6,7
851,2007-03-21,1,16
851,2007-03-21,2,32
851,2007-03-21,3,35
851,2007-03-21,4,58
851,2007-03-21,5,19
851,2007-03-21,6,3
852,2007-03-24,1,14
852,2007-03-24,2,38
852,2007-03-24,3,6
852,2007-03-24,4,23
852,2007-03-24,5,44
852,2007-03-24,6,34
853,2007-03-28,1,51
853,2007-03-28,2,30
853,2007-03-28,3,59
853,2007-03-28,4,46
853,2007-03-28,5,38
853,2007-03-28,6,56
854,2007-03-31,1,17
854,2007-03-31,2,3
854,2007-03-31,3,24
854,2007-03-31,4,27
854,2007-03-31,5,44
854,2007-03-31,6,25
855,2007-04-04,1,42
855,2007-04-04,2,3
855,2007-04-04,3,24
855,2007-04-04,4,53
855,2007-04-04,5,43
855,2007-04-04,6,31
856,2007-04-07,1,11
856,2007-04-07,2,40
856,2007-04-07,3,41
856,2007-04-07,4,47
856,2007-04-07,5,15
856,2007-04-07,6,42
857,2007-04-11,1,17
857,2007-04-11,2,59
857,2007-04-11,3,49
857,2007-04-11,4,2
857,2007-04-11,5,3
857,2007-04-11,6,50
858,2007-04-14,1,31
858,2007-04-14,2,37
858,2007-04-14,3,54
858,2007-04-14,4,23
858,2007-04-14,5,4
858,2007-04-14,6,18
859,2007-04-18,1,46
859,2007-04-18,2,47
859,2007-04-18,3,12
859,2007-04-18,4,57
859,2007-04-18,5,34
859,2007-04-18,6,9
860,2007-04-23,1,22
860,2007-04-23,2,8
860,2007-04-23,3,17
860,2007-04-23,4,42
860,2007-04-23,5,44
860,2007-04-23,6,2
861,2007-04-25,1,42
861,2007-04-25,2,40
861,2007-04-25,3,60
861,2007-04-25,4,59
861,2007-04-25,5,47
861,2007-04-25,6,39
862,2007-04-28,1,19
862,2007-04-28,2,35
862,2007-04-28,3,12
862,2007-04-28,4,2
862,2007-04-28,5,11
862,2007-04-28,6,8
863,2007-05-02,1,32
863,2007-05-02,2,53
863,2007-05-02,3,50
863,2007-05-02,4,57
863,2007-05-02,5,15
863,2007-05-02,6,24
864,2007-05-05,1,31
864,2007-05-05,2,11
864,2007-05-05,3,33
864,2007-05-05,4,42
864,2007-05-05,5,57
864,2007-05-05,6,8
865,2007-05-09,1,27
865,2007-05-09,2,23
865,2007-05-09,3,41
865,2007-05-09,4,51
865,2007-05-09,5,26
865,2007-05-09,6,53
866,2007-05-12,1,36
866,2007-05-12,2,48
866,2007-05-12,3,27
866,2007-05-12,4,40
866,2007-05-12,5,5
866,2007-05-12,6,46
867,2007-05-16,1,54
867,2007-05-16,2,26
867,2007-05-16,3,28
867,2007-05-16,4,19
867,2007-05-16,5,44
867,2007-05-16,6,10
868,2007-05-19,1,57
868,2007-05-19,2,51
868,2007-05-19,3,21
868,2007-05-19,4,22
868,2007-05-19,5,25
868,2007-05-19,6,40
869,2007-05-23,1,29
869,2007-05-23,2,42
869,2007-05-23,3,50
869,2007-05-23,4,51
869,2007-05-23,5,49
869,2007-05-23,6,27
870,2007-05-26,1,52
870,2007-05-26,2,8
870,2007-05-26,3,43
870,2007-05-26,4,34
870,2007-05-26,5,40
870,2007-05-26,6,21
871,2007-05-30,1,17
871,2007-05-30,2,5
871,2007-05-30,3,58
871,2007-05-30,4,1
871,2007-05-30,5,47
871,2007-05-30,6,10
872,2007-06-02,1,18
872,2007-06-02,2,55
872,2007-06-02,3,58
872,2007-06-02,4,43
872,2007-06-02,5,31
872,2007-06-02,6,5
873,2007-06-06,1,57
873,2007-06-06,2,59
873,2007-06-06,3,4
873,2007-06-06,4,34
873,2007-06-06,5,19
873,2007-06-06,6,30
874,2007-06-09,1,59
874,2007-06-09,2,20
874,2007-06-09,3,52
874,2007-06-09,4,42
874,2007-06-09,5,44
874,2007-06-09,6,10
875,2007-06-13,1,53
875,2007-06-13,2,18
875,2007-06-13,3,36
875,2007-06-13,4,58
875,2007-06-13,5,24
875,2007-06-13,6,20
876,2007-06-16,1,4
876,2007-06-16,2,12
876,2007-06-16,3,41
876,2007-06-16,4,45
876,2007-06-16,5,60
876,2007-06-16,6,8
877,2007-06-20,1,13
877,2007-06-20,2,15
877,2007-06-20,3,20
877,2007-06-20,4,31
877,2007-06-20,5,28
877,2007-06-20,6,36
878,2007-06-23,1,37
878,2007-06-23,2,12
878,2007-06-23,3,43
878,2007-06-23,4,38
878,2007-06-23,5,11
878,2007-06-23,6,54
879,2007-06-27,1,29
879,2007-06-27,2,10
879,2007-06-27,3,46
879,2007-06-27,4,35
879,2007-06-27,5,42
879,2007-06-27,6,28
880,2007-06-30,1,51
880,2007-06-30,2,30
880,2007-06-30,3,49
880,2007-06-30,4,25
880,2007-06-30,5,37
880,2007-06-30,6,46
881,2007-07-04,1,43
881,2007-07-04,2,24
881,2007-07-04,3,4
881,2007-07-04,4,51
881,2007-07-04,5,18
881,2007-07-04,6,56
882,2007-07-07,1,42
882,2007-07-07,2,45
882,2007-07-07,3,44
882,2007-07-07,4,60
882,2007-07-07,5,41
882,2007-07-07,6,17
883,2007-07-11,1,21
883,2007-07-11,2,37
883,2007-07-11,3,60
883,2007-07-11,4,32
883,2007-07-11,5,52
883,2007-07-11,6,53
884,2007-07-14,1,22
884,2007-07-14,2,11
884,2007-07-14,3,2
884,2007-07-14,4,14
884,2007-07-14,5,39
884,2007-07-14,6,12
885,2007-07-18,1,13
885,2007-07-18,2,4
885,2007-07-18,3,31
885,2007-07-18,4,33
885,2007-07-18,5,47
885,2007-07-18,6,51
886,2007-07-21,1,50
886,2007-07-21,2,55
886,2007-07-21,3,37
886,2007-07-21,4,33
886,2007-07-21,5,59
886,2007-07-21,6,17
887,2007-07-25,1,44
887,2007-07-25,2,12
887,2007-07-25,3,32
887,2007-07-25,4,21
887,2007-07-25,5,1
887,2007-07-25,6,34
888,2007-07-28,1,50
888,2007-07-28,2,24
888,2007-07-28,3,40
888,2007-07-28,4,54
888,2007-07-28,5,52
888,2007-07-28,6,60
889,2007-08-01,1,34
889,2007-08-01,2,54
889,2007-08-01,3,20
889,2007-08-01,4,39
889,2007-08-01,5,60
889,2007-08-01,6,24
890,2007-08-04,1,9
890,2007-08-04,2,21
890,2007-08-04,3,22
890,2007-08-04,4,7
890,2007-08-04,5,17
890,2007-08-04,6,54
891,2007-08-08,1,15
891,2007-08-08,2,22
891,2007-08-08,3,19
891,2007-08-08,4,35
891,2007-08-08,5,34
891,2007-08-08,6,16
892,2007-08-11,1,1
892,2007-08-11,2,49
892,2007-08-11,3,52
892,2007-08-11,4,42
892,2007-08-11,5,19
892,2007-08-11,6,44
893,2007-08-15,1,56
893,2007-08-15,2,53
893,2007-08-15,3,51
893,2007-08-15,4,26
893,2007-08-15,5,18
893,2007-08-15,6,3
894,2007-08-18,1,37
894,2007-08-18,2,24
894,2007-08-18,3,44
894,2007-08-18,4,28
894,2007-08-18,5,20
894,2007-08-18,6,41
895,2007-08-22,1,2
895,2007-08-22,2,55
895,2007-08-22,3,41
895,2007-08-22,4,43
895,2007-08-22,5,57
895,2007-08-22,6,58
896,2007-08-25,1,31
896,2007-08-25,2,11
896,2007-08-25,3,41
